service_request_number;reported_date;parcel_id;parid_key;location;standardized_address;service_request_summary;category;service_request_status;resolution_code;definition;follow_up_date;service_request_type;target_block;area;postal_code;lat;lon;last_edited_date;vacant;geopoint;neighborhood
5459008;2021-10-04;049058  00011;04905800000110;747 E GAGE AVE;747 E Gage Ave, Memphis, Tennessee, 38106;CE-Weeds Occupied Property;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-18;CE-Weeds Occupied Property;133.0;06-007;38106.0;35.08691962;-90.03811549;2022-02-23;N;35.08691962, -90.03811549;Unknown
5517312;2021-12-06;053013  00015;05301300000150;1324 WRENWOOD ST;1324 Wrenwood St, Memphis, Tennessee, 38122;junky yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-31;CE-Junky Yard;46.0;05-004;38122.0;35.16774554;-89.93205909;2022-02-23;N;35.16774554, -89.93205909;Unknown
5478910;2021-10-21;074025  00026;07402500000260;3438 LUZON ST;3438 Luzon Dr, Memphis, Tennessee, 38118;Junky yards on exterior of property.;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-07;CE-Junky Yard;200.0;03-003;38118.0;35.05481605;-89.90151982;2022-02-23;N;35.05481605, -89.90151982;Parkway Village
5751308;2022-06-16;040033  00016;04003300000160;1088 N WATKINS ST;1088 N Watkins St, Memphis, Tennessee, 38107;occupied property - high grass and weeds front and back yard;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-06;CE-Weeds Occupied Property;37.0;07-004;38107.0;35.16833363;-90.00980969;2022-08-24;N;35.16833363, -90.00980969;New Chelsea
5408892;2021-08-26;029090  00012;02909000000120;689 BALTIMORE ST;689 Baltimore St, Memphis, Tennessee, 38114;junky yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-11-01;CE-Junky Yard;103.0;04-003;38114.0;35.11315035;-89.9732845;2022-02-23;N;35.11315035, -89.9732845;Buntyn
5442960;2021-09-21;038094  00121;03809400001210;1058 E ROSSILAND CIR;1058 Rossiland Cir E, Memphis, Tennessee, 38122;junky yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-19;CE-Junky Yard;50.0;05-004;38122.0;35.16045763;-89.92901955;2022-02-23;N;35.16045763, -89.92901955;Unknown
5137924;2021-04-01;045110  00052;04511000000520;3254 SPOTTSWOOD AVE;3254 Spottswood Ave, Memphis, Tennessee, 38111;high grass and weeds;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-05-26;CE-Weeds Occupied Property;104.0;05-003;38111.0;35.11349263;-89.95385688;2024-02-03;N;35.11349263, -89.95385688;Buntyn
5137918;2021-04-01;045110  00052;04511000000520;3252 SPOTTSWOOD AVE;3254 Spottswood Ave, Memphis, Tennessee, 38111;high grass and weeds;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-05-26;CE-Weeds Occupied Property;104.0;05-003;38111.0;35.11349263;-89.95385688;2024-02-03;N;35.11349263, -89.95385688;Buntyn
5492386;2021-11-04;038088  00069;03808800000690;1100 SALEM ST;1100 Salem St, Memphis, Tennessee, 38122;Trash all over front yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-02-01;CE-Junky Yard;50.0;05-004;38122.0;35.16170744;-89.93340396;2022-02-23;N;35.16170744, -89.93340396;Unknown
6143454;2023-04-10;070034  00019;07003400000190;1614 ROOSEVELT AVE;1614 Roosevelt Ave, Memphis, Tennessee, 38127;OCC HIGH GRASS AND WEEDS;Weeds;Closed;JA;Justified, Active already file;2023-04-28;CE-Weeds Occupied Property;13.0;07-002;38127.0;35.20092229;-90.010022;2023-06-08;N;35.20092229, -90.010022;Unknown
4867194;2020-09-30;045075  00026;04507500000260;732 GOODWYN ST;732 Goodwyn St, Memphis, Tennessee, 38111;Junky yard and debris.;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-02-17;CE-Junky Yard;104.0;04-003;38111.0;35.11219071;-89.9634373;2022-02-23;Y;35.11219071, -89.9634373;Orange Mound
5455312;2021-09-30;072107  00189;07210700001890;2777 W LAKE SHORE DR;2777 W Lake Shore Dr, Memphis, Tennessee, 38127;HIGH GRASS;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-15;CE-Weeds Occupied Property;11.0;01-001;38127.0;35.20139265;-89.97480837;2022-02-23;;35.20139265, -89.97480837;Unknown
