service_request_number;reported_date;service_request_summary;category;definition;follow_up_date;service_request_type;neighborhood
5478910;2021-10-21;Junky yards on exterior of property.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-07;CE-Junky Yard;Parkway Village
5221232;2021-04-22;high grass and weeds;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-10;CE-Weeds Occupied Property;Parkway Village
5394380;2021-08-17;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-19;CE-Junky Yard;Parkway Village
5221178;2021-04-22;Junky yard and debris.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-10;CE-Junky Yard;Parkway Village
5277322;2021-05-26;high grass and weeds in front yard, garbage and trash in yard;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-12;CE-Weeds Occupied Property;Parkway Village
5544672;2022-01-06;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-20;CE-Junky Yard;Parkway Village
5921232;2022-09-30;INOPERABLE VEHICLE IN YARD AND CHATTELS;Inspection-Junky Yard;Closed Void;2023-05-27;CE-Junky Yard;Parkway Village
5654944;2022-04-19;JUNKY YARD front & back;Inspection-Junky Yard;Work progress on V.O.;2022-10-29;CE-Junky Yard;Parkway Village
6081164;2023-02-24;CE-Junky Yard;Inspection-Junky Yard;No progress on V.O.;2023-09-13;CE-Junky Yard;Parkway Village
5824262;2022-07-26;COURT DATE SET 5-31-2023 @9:00 AM High grass and weeds in back yard along with debris.;Weeds;Case dismissed         Need further discussion;2023-04-26;CE-Weeds Occupied Property;Parkway Village
5350932;2021-07-19;JUNKY YARD and PARKING ON GRASS;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-12-17;CE-Junky Yard;Parkway Village
5087524;2021-03-09;"**Please talk to them** 3rd request; Place garbage at curb without bags, garbage being blown everywhere";Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-09;CE-Junky Yard;Parkway Village
5460964;2021-10-05;PARKING ON GRASS REAR;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-19;CE-Junky Yard;Parkway Village
5180484;2021-04-08;junky yard , parking on yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-13;CE-Junky Yard;Parkway Village
5624452;2022-03-24;Back yard full of rubbish and debris.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-04-12;CE-Junky Yard;Parkway Village
5099106;2021-03-17;JUNKY CARPORT;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-19;CE-Junky Yard;Parkway Village
5238486;2021-05-03;JUNKY FRONT YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-23;CE-Junky Yard;Parkway Village
5311470;2021-06-18;parking in the grass and gargbe bin over flown with trash  . refrigerator outisde;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-23;CE-Junky Yard;Parkway Village
5445374;2021-09-22;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-11;CE-Junky Yard;Parkway Village
5760368;2022-06-23;COURT DATE 12/08/2022 @ 1:30PM. junk piled in backyard , causing rodents;Inspection-Junky Yard;Case dismissed         Need further discussion;2022-09-08;CE-Junky Yard;Parkway Village
5935098;2022-10-13;Dismissed on 6/21/2023 @ 9:00AM. CE-Junky Yard;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-05-17;CE-Junky Yard;Parkway Village
5324072;2021-06-28;junky front and back;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-20;CE-Junky Yard;Parkway Village
5777576;2022-07-06;Junky yards and side yard.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-18;CE-Junky Yard;Parkway Village
6030920;2023-01-11;Junky front and back yards;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-05-08;CE-Junky Yard;Parkway Village
5777374;2022-07-06;Extreme junky back yard and back yard needs cutting.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-20;CE-Junky Yard;Parkway Village
5772170;2022-06-30;high grass and weeds at a group home in a residential zone.;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-15;CE-Weeds Occupied Property;Parkway Village
5221132;2021-04-22;Junky yard and debris.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-10;CE-Junky Yard;Parkway Village
5433934;2021-09-15;Junky front yard, car parts, trash, garbage and open storage. Autos on grass and inoperables in driveway.;Inspection-Junky Yard;Closed Void;2021-10-06;CE-Junky Yard;Parkway Village
5942874;2022-10-20;COURT DATE 7/12/2023 @ 9:00 AM. CE-Junky Yard;Inspection-Junky Yard;Court case continued;2023-05-03;CE-Junky Yard;Parkway Village
