service_request_number;reported_date;service_request_summary;category;definition;follow_up_date;service_request_type;neighborhood
3126066;2017-02-24;junky backyard;Inspection-Junky Yard;Closed Void;2024-04-08;CE-Junky Yard;Egypt
3720608;2018-04-26;Court date set for 5/26/2023 @ 9:00 A.M.  JUNKY PROPERTY;Inspection-Junky Yard;Case dismissed         Need further discussion;2023-04-28;CE-Junky Yard;Egypt
4827706;2020-08-30;Appliance on the side of the house on driveway side;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-05-22;CE-Junky Yard;Egypt
4904480;2020-10-29;Backyard - Disabled  inoperable vehicle on the grass in backyard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-05-22;CE-Junky Yard;Egypt
4904508;2020-11-14;Backyard junk & inoperable vehicles in backyard- inspectors need to get of the cars  to look for backyard violations per their job description;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-06;CE-Junky Yard;Egypt
5101918;2021-03-18;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-09;CE-Junky Yard;Egypt
5101870;2021-03-18;junky & inoperable vehicle;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-05-06;CE-Junky Yard;Egypt
5101922;2021-03-18;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-09;CE-Junky Yard;Egypt
5101932;2021-03-18;inoperable vehicle / junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-09;CE-Junky Yard;Egypt
5101920;2021-03-18;Court date set for 12/10/21 @ 9:00am - junky yard;Inspection-Junky Yard;Case dismissed         Need further discussion;2021-10-29;CE-Junky Yard;Egypt
5101906;2021-03-18;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-09;CE-Junky Yard;Egypt
5101928;2021-03-18;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-09;CE-Junky Yard;Egypt
