service_request_number;reported_date;service_request_summary;category;definition;follow_up_date;service_request_type;neighborhood
4743428;2020-07-11;Weeds Occupied Property;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-14;CE-Weeds Occupied Property;Hickory Hill
4865356;2020-09-29;REMOVE ALL EXTERIOR DEBRIS AND ALL CHATTELS FROM THE PROPERTY;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-03-01;CE-Junky Yard;Hickory Hill
4937530;2020-11-18;Junky yard front and side its an open trailer;Inspection-Junky Yard;Incompliance Violation order to move auto - Auto removed;2021-02-05;CE-Junky Yard;Hickory Hill
5038322;2021-01-14;REMOVE ALL DEBRIS AND CHATTLE;Inspection-Junky Yard;Closed, Other;2021-04-13;CE-Junky Yard;Hickory Hill
5042796;2021-01-20;JUNK YARD - BACK YARD;Inspection-Junky Yard;Closed, Other;2021-04-20;CE-Junky Yard;Hickory Hill
5044052;2021-01-21;PARKING ON GRASS AND JUNK YARD;Inspection-Junky Yard;Closed Void;2021-05-04;CE-Junky Yard;Hickory Hill
5079942;2021-03-02;BROKEN FENCE;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-08;CE-Junky Yard;Hickory Hill
5092176;2021-03-12;There is a lot of trash, weeds,etc and house seems un lived in unkept;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-08;CE-Junky Yard;Hickory Hill
5123378;2021-03-29;JUNK IS SURROUNDING THIS ENTIRE HOME.;Inspection-Junky Yard;Back To MCSC;2021-04-05;CE-Junky Yard;Hickory Hill
5214958;2021-04-19;Citizen has a junky yard causing rodents to appear in the neighborhood.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-30;CE-Junky Yard;Hickory Hill
5236146;2021-05-01;Sick of neighbors not cutting grass which is more than knee high! This causes snakes and rodents!One address is 5304 Scottsdale the back yard is ridiculous!;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-23;CE-Weeds Occupied Property;Hickory Hill
5318416;2021-06-23;HIGH GRASS AND WEEDS FRONT AND BACKYARD;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-30;CE-Weeds Occupied Property;Hickory Hill
5329762;2021-07-02;reverse frontage on ridgeway rd sides of property;Weeds;Case not justified;2021-07-09;CE-Weeds Occupied Property;Hickory Hill
5382478;2021-08-09;ENTIRE HOUSE NEED TO BE CUT;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-19;CE-Weeds Occupied Property;Hickory Hill
5382944;2021-08-09;high grass in backyard;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-19;CE-Weeds Occupied Property;Hickory Hill
5456816;2021-10-01;COURT DATE 12-10-2021 @ 9:00AM. cars on the street for over a year, a van, cars, and TRUCKS;Inspection-Junky Yard;Case dismissed         Need further discussion;2021-10-21;CE-Junky Yard;Hickory Hill
5456818;2021-10-01;high grass and weed;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-12-23;CE-Weeds Occupied Property;Hickory Hill
5460374;2021-10-05;JUNKY YARD REAR;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-19;CE-Junky Yard;Hickory Hill
