service_request_number;reported_date;service_request_summary;category;definition;follow_up_date;service_request_type;neighborhood
3600182;2018-02-05;VACANT DERELICT , SUB STANDARD STRUCTURE THAT NEEDS REPAIRS MADE;Inspection-Junky Yard;Hearing missed - FORM 7;2022-06-21;CE-Junky Yard;Orange Mound
4613884;2020-04-17;REMOVE ALL EXTERIOR DEBRIS FROM THE PROPERTY;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-15;CE-Junky Yard;Orange Mound
4659608;2020-05-21;junky in the backyard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-14;CE-Junky Yard;Orange Mound
4719992;2020-06-28;Junky backyard and also uses backyard as trash can;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-14;CE-Junky Yard;Orange Mound
4775946;2020-07-30;Property has a bunch of junk in the backyard, side and behind the garage at 2644 Lowell Ave;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-14;CE-Junky Yard;Orange Mound
4785898;2020-08-06;Court date reset for 07/01/2021 @ 1:30pm Junky yard and debris.;Inspection-Junky Yard;Case dismissed         Need further discussion;2021-07-01;CE-Junky Yard;Orange Mound
4867194;2020-09-30;Junky yard and debris.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-02-17;CE-Junky Yard;Orange Mound
4899332;2020-10-27;junky yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-05-07;CE-Junky Yard;Orange Mound
4899512;2020-10-27;inoperable vehicle and washing machine in back yard @2433 Arlington;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-03-04;CE-Junky Yard;Orange Mound
4900840;2020-10-28;Junky yard and debris.;Inspection-Junky Yard;Justified, Active already file;2021-02-20;CE-Junky Yard;Orange Mound
4918004;2020-11-06;junky yard;Inspection-Junky Yard;Justified, Active already file;2021-01-18;CE-Junky Yard;Orange Mound
4933204;2020-11-16;Junky yard and debris.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-03-23;CE-Junky Yard;Orange Mound
4935250;2020-11-17;Junky yard and debris.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-08-10;CE-Junky Yard;Orange Mound
4957872;2020-12-01;Junky yard and debris.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-03-29;CE-Junky Yard;Orange Mound
4984728;2020-12-16;Junky yard and debris.;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-15;CE-Junky Yard;Orange Mound
4984584;2020-12-16;DEBRIS IN THE BACK YARD;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-23;CE-Junky Yard;Orange Mound
5012372;2020-12-31;the citizen at this address placing garbage on a  vacant lot and next door neigbor property line  734 & 730;Inspection-Junky Yard;Case not justified;2021-01-07;CE-Junky Yard;Orange Mound
5025514;2021-01-06;This request is created by EGIS for testing purpose. Please do not update (317-701-2704);Cleanup;Closed Void;2021-01-28;CE-Accumulation of Stagnant;Orange Mound
5026970;2021-01-07;junky back yard;Inspection-Junky Yard;Closed Void;2021-05-07;CE-Junky Yard;Orange Mound
