Filing Date;Latitude;Longitude;Zip Code 2022;Was Defendant Evicted;Total Evictions
2016-01-04;35.218373;-89.931819;38128;Yes;3
2016-01-04;35.229573;-89.94247;38128;No;3
2016-01-04;35.257031;-89.926283;38128;Yes;523
2016-01-05;35.252542;-89.952799;38128;Yes;2
2016-01-05;35.201733;-89.895934;38128;No;202
2016-01-05;35.215101;-89.905731;38128;Yes;1
2016-01-06;35.256175;-89.925733;38128;Yes;523
2016-01-06;35.204092;-89.917215;38128;Yes;123
2016-01-06;35.210571;-89.951809;38128;Yes;320
2016-01-06;35.203544;-89.917002;38128;Yes;123
2016-01-06;35.204;-89.916456;38128;Yes;97
2016-01-06;35.204;-89.916456;38128;Yes;97
2016-01-06;35.204092;-89.917215;38128;Yes;123
2016-01-06;35.256057;-89.94041;38128;Yes;4
2016-01-06;35.245787;-89.95463;38128;Yes;2
2016-01-06;35.204092;-89.917215;38128;Yes;123
2016-01-06;35.203544;-89.917002;38128;Yes;123
2016-01-06;35.204;-89.916456;38128;Yes;97
2016-01-06;35.259757;-89.928091;38128;No;523
2016-01-06;35.261051;-89.926211;38128;No;523
2016-01-06;35.227879;-89.93155;38128;Yes;2
2016-01-07;35.246131;-89.920993;38128;Yes;4
2016-01-07;35.203532;-89.917233;38128;Yes;123
2016-01-07;35.252746;-89.902623;38128;Yes;3
2016-01-07;35.250343;-89.952426;38128;Yes;4
2016-01-07;35.249803;-89.951201;38128;Yes;1
2016-01-07;35.204;-89.916456;38128;Yes;97
2016-01-07;35.210214;-89.957309;38128;Yes;2
2016-01-08;35.247137;-89.910412;38128;Yes;5
2016-01-08;35.194618;-89.902242;38128;Yes;567
2016-01-08;35.194202;-89.900443;38128;Yes;567
2016-01-08;35.249441;-89.951014;38128;Yes;4
2016-01-08;35.194085;-89.902551;38128;Yes;567
2016-01-08;35.219717;-89.916962;38128;Yes;2
2016-01-08;35.24809;-89.914349;38128;Yes;3
2016-01-11;35.194907;-89.900365;38128;Yes;567
2016-01-11;35.194085;-89.902551;38128;Yes;567
2016-01-11;35.194405;-89.900906;38128;Yes;567
2016-01-11;35.194644;-89.902513;38128;Yes;567
2016-01-12;35.248929;-89.950607;38128;Yes;3
2016-01-12;35.19492;-89.909714;38128;Yes;824
2016-01-12;35.194504;-89.909102;38128;Yes;824
2016-01-12;35.193799;-89.90947;38128;Yes;824
2016-01-12;35.194671;-89.911287;38128;Yes;824
2016-01-12;35.193694;-89.909831;38128;Yes;824
2016-01-12;35.221067;-89.930229;38128;No;3
2016-01-12;35.228627;-89.942985;38128;Yes;10
2016-01-12;35.239319;-89.943095;38128;Yes;4
2016-01-12;35.194502;-89.909591;38128;Yes;824
2016-01-12;35.193655;-89.90911;38128;Yes;824
2016-01-12;35.18122;-89.898117;38128;No;1
2016-01-12;35.19399;-89.909725;38128;Yes;824
2016-01-13;35.240645;-89.928397;38128;Yes;557
2016-01-13;35.231566;-89.944717;38128;Yes;1
2016-01-13;35.256317;-89.928079;38128;No;523
2016-01-13;35.234787;-89.937257;38128;Yes;2
2016-01-13;35.221111;-89.89517;38128;Yes;88
2016-01-13;35.199645;-89.904559;38128;Yes;534
2016-01-13;35.239511;-89.928254;38128;Yes;557
2016-01-13;35.240645;-89.928397;38128;Yes;557
2016-01-13;35.198511;-89.905073;38128;Yes;534
2016-01-13;35.240582;-89.927472;38128;Yes;557
2016-01-13;35.221204;-89.898831;38128;Yes;88
2016-01-13;35.199252;-89.90514;38128;Yes;534
2016-01-13;35.239511;-89.928254;38128;Yes;557
2016-01-13;35.199479;-89.905136;38128;Yes;534
2016-01-13;35.239993;-89.927104;38128;Yes;557
2016-01-13;35.239779;-89.927939;38128;Yes;557
2016-01-13;35.198511;-89.905073;38128;Yes;534
2016-01-14;35.213004;-89.922116;38128;Yes;140
2016-01-14;35.221394;-89.922372;38128;Yes;2
2016-01-14;35.224101;-89.946241;38128;Yes;4
2016-01-14;35.243741;-89.904855;38128;No;1
2016-01-15;35.244253;-89.934823;38128;Yes;4
2016-01-15;35.206158;-89.914955;38128;No;2
2016-01-15;35.241736;-89.911227;38128;Yes;1
2016-01-15;35.206887;-89.918986;38128;Yes;2
2016-01-15;35.246441;-89.950979;38128;Yes;1
2016-01-15;35.234549;-89.923407;38128;No;225
2016-01-15;35.234759;-89.922886;38128;No;225
2016-01-15;35.226469;-89.942709;38128;Yes;2
2016-01-15;35.235374;-89.924389;38128;Yes;126
2016-01-15;35.237868;-89.929845;38128;No;5
2016-01-15;35.236379;-89.924329;38128;No;212
2016-01-15;35.235384;-89.923296;38128;No;225
2016-01-15;35.23637;-89.923548;38128;No;212
2016-01-15;35.206849;-89.930368;38128;No;14
2016-01-15;35.233614;-89.924282;38128;No;74
