Filing Date;Latitude;Longitude;Zip Code 2022;Was Defendant Evicted;Total Evictions
2016-01-04;35.217261;-89.971307;38127;Yes;1
2016-01-04;35.224906;-90.011155;38127;Yes;1
2016-01-04;35.230243;-89.979583;38127;Yes;2
2016-01-04;35.24673;-89.980597;38127;Yes;2
2016-01-05;35.203711;-90.013028;38127;Yes;105
2016-01-05;35.233157;-89.9788;38127;No;2
2016-01-05;35.221421;-90.00235;38127;Yes;1
2016-01-05;35.263724;-90.037502;38127;Yes;4
2016-01-05;35.211494;-90.026549;38127;Yes;263
2016-01-06;35.221168;-89.988138;38127;Yes;3
2016-01-06;35.220386;-90.010098;38127;No;2
2016-01-07;35.27132;-90.042756;38127;No;2
2016-01-07;35.226858;-90.013748;38127;Yes;148
2016-01-07;35.242947;-89.976916;38127;Yes;184
2016-01-07;35.20909;-89.999706;38127;No;7
2016-01-07;35.226388;-90.013981;38127;Yes;148
2016-01-07;35.243841;-89.975936;38127;Yes;184
2016-01-07;35.243588;-89.977693;38127;Yes;184
2016-01-07;35.262086;-90.040077;38127;Yes;6
2016-01-07;35.238845;-89.986031;38127;Yes;5
2016-01-07;35.243502;-89.975834;38127;Yes;184
2016-01-07;35.237212;-89.996166;38127;Yes;4
2016-01-08;35.229577;-89.963445;38127;Yes;2
2016-01-08;35.249527;-89.977307;38127;Yes;8
2016-01-08;35.204044;-89.978831;38127;Yes;441
2016-01-08;35.203813;-90.025746;38127;Yes;1
2016-01-11;35.218733;-89.976242;38127;Yes;132
2016-01-11;35.220473;-90.032264;38127;No;3
2016-01-11;35.215515;-90.026117;38127;Yes;201
2016-01-11;35.203835;-90.024002;38127;No;1
2016-01-11;35.241145;-90.052476;38127;Yes;3
2016-01-12;35.225478;-89.997814;38127;Yes;2
2016-01-12;35.209739;-90.013174;38127;Yes;230
2016-01-12;35.209622;-90.014;38127;No;230
2016-01-12;35.23323;-89.965905;38127;Yes;4
2016-01-12;35.209739;-90.013174;38127;No;230
2016-01-12;35.216119;-89.988376;38127;Yes;4
2016-01-12;35.226623;-89.995599;38127;Yes;1
2016-01-12;35.218264;-89.979211;38127;Yes;143
2016-01-12;35.241047;-89.993003;38127;Yes;138
2016-01-12;35.210198;-90.013878;38127;No;230
2016-01-12;35.209141;-90.012891;38127;No;230
2016-01-12;35.209383;-90.013115;38127;Yes;230
2016-01-12;35.209739;-90.013174;38127;No;230
2016-01-12;35.209739;-90.013174;38127;No;230
2016-01-12;35.209383;-90.013115;38127;No;230
2016-01-12;35.223286;-90.030098;38127;Yes;3
2016-01-12;35.209383;-90.013115;38127;Yes;230
2016-01-12;35.219482;-90.004517;38127;Yes;91
2016-01-12;35.209737;-90.013449;38127;Yes;230
2016-01-12;35.241256;-89.992614;38127;Yes;138
2016-01-12;35.219482;-90.004517;38127;Yes;91
2016-01-12;35.236124;-89.994111;38127;Yes;1
2016-01-12;35.209739;-90.013174;38127;No;230
2016-01-13;35.204243;-89.976815;38127;No;441
2016-01-13;35.222405;-89.990686;38127;Yes;3
2016-01-13;35.215623;-89.982863;38127;No;1
2016-01-13;35.225632;-89.977729;38127;Yes;494
2016-01-13;35.245307;-89.976002;38127;Yes;1
2016-01-13;35.224243;-89.977241;38127;Yes;494
2016-01-13;35.203509;-89.98772;38127;Yes;2
2016-01-13;35.217907;-89.993601;38127;Yes;65
2016-01-13;35.22495;-89.977497;38127;Yes;494
2016-01-14;35.211099;-89.991854;38127;Yes;3
2016-01-14;35.258656;-90.038818;38127;Yes;5
2016-01-15;35.213895;-90.033815;38127;Yes;3
2016-01-15;35.242749;-89.993525;38127;Yes;2
2016-01-15;35.223387;-90.033969;38127;Yes;1
2016-01-15;35.232806;-89.976888;38127;No;3
2016-01-15;35.224961;-89.999351;38127;Yes;2
