Filing Date;Latitude;Longitude;Zip Code 2022;Was Defendant Evicted;Total Evictions
2016-01-04;35.079809;-89.971407;38114;Yes;891
2016-01-04;35.10194;-89.982068;38114;Yes;5
2016-01-04;35.093801;-89.962013;38114;Yes;4
2016-01-04;35.105496;-89.963479;38114;Yes;3
2016-01-04;35.079188;-89.969993;38114;Yes;891
2016-01-04;35.080169;-89.970306;38114;Yes;891
2016-01-05;35.109022;-89.968281;38114;Yes;3
2016-01-05;35.096871;-89.99837;38114;Yes;585
2016-01-05;35.110528;-90.002017;38114;Yes;1
2016-01-05;35.115316;-89.991959;38114;Yes;177
2016-01-06;35.087724;-89.980818;38114;No;55
2016-01-06;35.086779;-89.979909;38114;Yes;2
2016-01-07;35.079199;-89.981269;38114;Yes;528
2016-01-07;35.079225;-89.980478;38114;Yes;528
2016-01-07;35.077237;-89.981254;38114;Yes;528
2016-01-07;35.07893;-89.98052;38114;No;528
2016-01-07;35.093361;-89.957984;38114;No;1
2016-01-07;35.079225;-89.980478;38114;Yes;528
2016-01-08;35.095716;-89.966884;38114;Yes;180
2016-01-08;35.095864;-89.966879;38114;Yes;180
2016-01-08;35.116476;-89.997304;38114;Yes;2
2016-01-08;35.109429;-89.98628;38114;Yes;5
2016-01-08;35.104641;-89.980696;38114;Yes;8
2016-01-08;35.095864;-89.966879;38114;Yes;180
2016-01-11;35.0926;-89.999818;38114;Yes;2
2016-01-11;35.085458;-89.979412;38114;Yes;1
2016-01-11;35.095542;-89.996289;38114;Yes;332
2016-01-12;35.082312;-89.972818;38114;Yes;224
2016-01-13;35.09486;-89.97445;38114;Yes;2
2016-01-13;35.087724;-89.980818;38114;Yes;55
2016-01-13;35.091364;-89.974062;38114;Yes;1
2016-01-13;35.105387;-90.003466;38114;No;17
2016-01-13;35.093394;-89.97593;38114;Yes;2
2016-01-13;35.103067;-89.987844;38114;No;4
2016-01-13;35.100601;-89.983849;38114;Yes;2
2016-01-14;35.077713;-89.979333;38114;Yes;528
2016-01-14;35.077283;-89.981803;38114;Yes;528
2016-01-14;35.115166;-89.988247;38114;Yes;3
2016-01-14;35.078074;-89.979323;38114;Yes;528
2016-01-14;35.077302;-89.981984;38114;Yes;528
2016-01-14;35.10525;-89.97092;38114;Yes;1
2016-01-14;35.077283;-89.981803;38114;Yes;528
2016-01-14;35.077253;-89.981443;38114;Yes;528
2016-01-14;35.079186;-89.981763;38114;Yes;528
2016-01-15;35.093832;-89.972297;38114;Yes;1
2016-01-15;35.101076;-89.982599;38114;No;4
2016-01-19;35.103575;-89.980426;38114;Yes;6
2016-01-19;35.109509;-89.991692;38114;Yes;2
2016-01-19;35.109619;-89.991851;38114;Yes;7
2016-01-19;35.112108;-89.978473;38114;Yes;1
2016-01-19;35.10745;-89.965104;38114;Yes;26
2016-01-19;35.098023;-89.97829;38114;Yes;2
2016-01-19;35.101326;-89.984823;38114;No;2
2016-01-19;35.080976;-89.972885;38114;Yes;224
2016-01-19;35.108107;-89.998967;38114;Yes;50
2016-01-19;35.107612;-89.979064;38114;Yes;3
2016-01-19;35.105635;-89.98079;38114;Yes;3
2016-01-19;35.108096;-89.992062;38114;Yes;3
2016-01-20;35.113259;-89.986367;38114;Yes;2
2016-01-25;35.109839;-89.973105;38114;Yes;3
2016-01-25;35.096889;-89.998663;38114;Yes;585
2016-01-25;35.083394;-89.971545;38114;Yes;3
2016-01-25;35.107511;-89.986078;38114;Yes;9
2016-01-25;35.092419;-89.975728;38114;Yes;1
2016-01-25;35.098112;-89.967285;38114;Yes;1
2016-01-25;35.0962;-89.997538;38114;Yes;585
2016-01-25;35.098172;-89.969123;38114;Yes;4
2016-01-26;35.105263;-89.992833;38114;No;3
2016-01-26;35.099742;-89.96176;38114;Yes;202
2016-01-26;35.083564;-89.962652;38114;Yes;5
2016-01-27;35.108707;-89.971192;38114;Yes;2
2016-01-27;35.087997;-89.981498;38114;Yes;5
2016-02-01;35.082312;-89.972818;38114;Yes;224
2016-02-01;35.081648;-89.972252;38114;No;224
2016-02-01;35.080976;-89.972885;38114;Yes;224
2016-02-03;35.115375;-89.988242;38114;Yes;1
2016-02-03;35.115305;-89.988244;38114;Yes;2
2016-02-05;35.099654;-89.962226;38114;Yes;202
2016-02-05;35.089887;-89.96803;38114;Yes;92
2016-02-05;35.091223;-89.968531;38114;Yes;92
2016-02-05;35.091223;-89.968531;38114;Yes;92
2016-02-05;35.089997;-89.967109;38114;Yes;92
2016-02-05;35.089887;-89.96803;38114;Yes;92
2016-02-08;35.113062;-89.969891;38114;Yes;33
2016-02-08;35.082682;-89.961154;38114;No;4
2016-02-08;35.119919;-90.00318;38114;No;3
2016-02-09;35.115575;-89.99275;38114;Yes;177
2016-02-09;35.090317;-89.962266;38114;Yes;3
2016-02-09;35.099522;-89.995668;38114;Yes;12
2016-02-09;35.115575;-89.99275;38114;Yes;177
2016-02-09;35.113459;-89.972217;38114;No;7
2016-02-09;35.085246;-89.98535;38114;Yes;89
2016-02-09;35.106867;-89.970483;38114;Yes;4
2016-02-09;35.115316;-89.991959;38114;Yes;177
2016-02-10;35.09293;-89.966422;38114;Yes;75
2016-02-10;35.101223;-89.963865;38114;Yes;92
2016-02-10;35.09293;-89.966422;38114;No;75
2016-02-11;35.106463;-90.002428;38114;Yes;3
2016-02-11;35.077435;-89.993553;38114;Yes;345
2016-02-11;35.104602;-90.00245;38114;No;1
2016-02-15;35.095322;-89.967188;38114;Yes;180
2016-02-16;35.095546;-89.96229;38114;No;1
2016-02-16;35.121944;-90.00566;38114;Yes;2
2016-02-17;35.090321;-89.963081;38114;No;6
2016-02-17;35.095235;-89.994984;38114;Yes;1
2016-02-17;35.087061;-89.974016;38114;No;4
2016-02-18;35.094344;-89.965601;38114;No;2
2016-02-18;35.095503;-89.995402;38114;Yes;28
2016-02-19;35.079239;-89.979725;38114;Yes;528
2016-02-24;35.077094;-89.995655;38114;Yes;345
2016-02-24;35.076586;-89.995488;38114;No;345
2016-02-24;35.077916;-89.994813;38114;No;345
2016-02-24;35.076894;-89.994454;38114;No;345
