Filing Date;Latitude;Longitude;Zip Code 2022;Was Defendant Evicted;Total Evictions
2016-01-04;35.040134;-89.96142;38118;Yes;3
2016-01-05;35.067757;-89.887311;38118;Yes;3
2016-01-05;35.047158;-89.900832;38118;Yes;1
2016-01-05;35.052846;-89.940521;38118;Yes;240
2016-01-05;35.052803;-89.939804;38118;Yes;240
2016-01-06;35.058487;-89.887652;38118;Yes;8
2016-01-06;35.044205;-89.948625;38118;Yes;1
2016-01-06;35.067357;-89.933923;38118;Yes;193
2016-01-07;35.067045;-89.92556;38118;Yes;1
2016-01-07;35.053445;-89.910119;38118;Yes;9
2016-01-07;35.014701;-89.952464;38118;No;2
2016-01-07;35.070398;-89.910213;38118;No;5
2016-01-07;35.034591;-89.959648;38118;Yes;8
2016-01-07;35.044533;-89.943203;38118;No;1
2016-01-07;35.027778;-89.94934;38118;Yes;6
2016-01-07;35.064217;-89.90161;38118;Yes;2
2016-01-08;35.050291;-89.91914;38118;Yes;314
2016-01-08;35.047786;-89.920612;38118;Yes;314
2016-01-08;35.057535;-89.938223;38118;No;1
2016-01-08;35.047786;-89.920612;38118;Yes;314
2016-01-08;35.048321;-89.921025;38118;Yes;314
2016-01-08;35.050915;-89.918789;38118;Yes;314
2016-01-08;35.052546;-89.940901;38118;Yes;240
2016-01-08;35.053602;-89.939799;38118;Yes;240
2016-01-08;35.04984;-89.919665;38118;Yes;314
2016-01-08;35.047786;-89.920612;38118;Yes;314
2016-01-08;35.057842;-89.926703;38118;Yes;1071
2016-01-08;35.047104;-89.919944;38118;No;314
2016-01-08;35.052961;-89.940885;38118;Yes;240
2016-01-08;35.047786;-89.920612;38118;Yes;314
2016-01-11;35.064391;-89.887106;38118;Yes;2
2016-01-11;35.056068;-89.920048;38118;Yes;8
2016-01-11;35.049149;-89.930813;38118;Yes;2
2016-01-11;35.054998;-89.914057;38118;Yes;7
2016-01-12;35.052151;-89.92496;38118;Yes;214
2016-01-12;35.069313;-89.892314;38118;Yes;3
2016-01-12;35.01028;-89.955579;38118;Yes;3
2016-01-12;35.052615;-89.923861;38118;Yes;214
2016-01-13;35.071835;-89.907488;38118;Yes;564
2016-01-13;35.071835;-89.907488;38118;Yes;564
2016-01-13;35.071866;-89.906626;38118;Yes;564
2016-01-13;35.071109;-89.909556;38118;Yes;564
2016-01-13;35.044239;-89.893844;38118;Yes;1
2016-01-13;35.070851;-89.907302;38118;Yes;564
2016-01-13;35.070959;-89.909556;38118;Yes;564
2016-01-13;35.071288;-89.909555;38118;Yes;564
2016-01-13;35.053225;-89.917945;38118;Yes;603
2016-01-14;35.053783;-89.915202;38118;No;107
2016-01-14;35.053866;-89.912156;38118;Yes;107
2016-01-15;35.057136;-89.903874;38118;Yes;3
2016-01-15;35.064012;-89.924878;38118;Yes;3
2016-01-15;35.033294;-89.95868;38118;No;4
2016-01-15;35.013131;-89.952594;38118;Yes;6
2016-01-15;35.010579;-89.961639;38118;Yes;8
2016-01-15;35.060254;-89.898306;38118;Yes;6
2016-01-15;35.071376;-89.894607;38118;Yes;3
2016-01-15;35.069856;-89.901317;38118;No;3
2016-01-15;35.065997;-89.92833;38118;Yes;10
2016-01-15;35.053255;-89.900717;38118;No;1
2016-01-15;35.052072;-89.957915;38118;No;6
2016-01-15;35.043521;-89.946301;38118;Yes;2
2016-01-15;35.063269;-89.895424;38118;Yes;1
2016-01-15;35.0155;-89.953883;38118;No;1
2016-01-15;35.055613;-89.890099;38118;Yes;5
2016-01-15;35.043526;-89.946638;38118;Yes;8
2016-01-19;35.048295;-89.903062;38118;Yes;1040
2016-01-19;35.01774;-89.952405;38118;Yes;2
2016-01-19;35.055313;-89.894549;38118;No;3
2016-01-19;35.050183;-89.902963;38118;Yes;1040
2016-01-19;35.048193;-89.903951;38118;Yes;1040
2016-01-19;35.062335;-89.926797;38118;Yes;12
2016-01-19;35.057885;-89.903036;38118;Yes;13
2016-01-19;35.050022;-89.903168;38118;Yes;1040
2016-01-19;35.050183;-89.902963;38118;Yes;1040
2016-01-19;35.060128;-89.926725;38118;Yes;2
2016-01-19;35.04857;-89.902863;38118;Yes;1040
2016-01-19;35.012309;-89.961639;38118;Yes;5
2016-01-19;35.069167;-89.922112;38118;Yes;4
2016-01-19;35.060151;-89.921928;38118;Yes;1
2016-01-19;35.048277;-89.902035;38118;No;1040
2016-01-19;35.064699;-89.904196;38118;Yes;4
2016-01-19;35.060403;-89.922466;38118;Yes;6
2016-01-19;35.048099;-89.903798;38118;Yes;1040
2016-01-19;35.047163;-89.904317;38118;Yes;1040
2016-01-19;35.065145;-89.892314;38118;No;24
2016-01-20;35.062373;-89.928779;38118;No;354
2016-01-20;35.06298;-89.928764;38118;Yes;354
2016-01-20;35.052711;-89.892668;38118;No;2
2016-01-20;35.07144;-89.909555;38118;Yes;564
2016-01-20;35.045584;-89.962734;38118;Yes;2
2016-01-20;35.062736;-89.929622;38118;Yes;354
2016-01-20;35.062612;-89.931284;38118;Yes;354
2016-01-20;35.051527;-89.890037;38118;No;4
2016-01-21;35.04387;-89.955736;38118;No;2
2016-01-21;35.014701;-89.952464;38118;Yes;2
2016-01-21;35.021543;-89.902904;38118;Yes;1
2016-01-21;35.050386;-89.922476;38118;No;5
2016-01-25;35.011039;-89.956706;38118;No;1
2016-01-25;35.054046;-89.897767;38118;Yes;2
2016-01-25;35.068525;-89.895066;38118;No;2
2016-01-25;35.015507;-89.951452;38118;Yes;2
2016-01-25;35.05603;-89.914033;38118;No;10
2016-01-25;35.04545;-89.899789;38118;Yes;2
2016-01-25;35.048396;-89.900414;38118;No;5
2016-01-25;35.043229;-89.900294;38118;Yes;6
2016-01-26;35.064478;-89.914729;38118;Yes;3
2016-01-26;35.051187;-89.898415;38118;Yes;278
2016-01-26;35.073084;-89.88927;38118;Yes;1
2016-01-26;35.070853;-89.90015;38118;Yes;4
2016-01-26;35.050849;-89.953486;38118;Yes;376
2016-01-26;35.050751;-89.953724;38118;No;376
2016-01-26;35.052506;-89.894899;38118;Yes;3
2016-01-26;35.050208;-89.953475;38118;Yes;376
2016-01-26;35.059639;-89.900865;38118;Yes;7
2016-01-26;35.051163;-89.953007;38118;No;376
2016-01-26;35.051557;-89.899164;38118;No;278
2016-01-26;35.050208;-89.953475;38118;Yes;376
2016-01-26;35.052839;-89.898443;38118;No;278
2016-01-26;35.05916;-89.922747;38118;No;4
2016-01-26;35.054179;-89.922572;38118;Yes;635
2016-01-26;35.068268;-89.900262;38118;Yes;6
2016-01-26;35.04352;-89.946804;38118;Yes;3
2016-01-26;35.055635;-89.92258;38118;Yes;635
2016-01-26;35.054804;-89.922165;38118;Yes;635
2016-01-26;35.056094;-89.922667;38118;Yes;635
2016-01-26;35.061352;-89.928815;38118;No;6
2016-01-26;35.05326;-89.922663;38118;Yes;635
2016-01-27;35.029916;-89.95673;38118;No;197
2016-01-27;35.029295;-89.957165;38118;Yes;197
2016-01-27;35.052649;-89.916664;38118;Yes;603
2016-01-28;35.048277;-89.902035;38118;Yes;1040
2016-01-28;35.050022;-89.903168;38118;No;1040
2016-01-28;35.047919;-89.899192;38118;Yes;1
2016-01-28;35.011512;-89.952166;38118;Yes;3
2016-01-28;35.069171;-89.908919;38118;No;1
2016-01-28;35.048295;-89.903062;38118;Yes;1040
2016-01-29;35.061694;-89.90375;38118;Yes;3
2016-01-29;35.066654;-89.92596;38118;No;3
2016-01-29;35.050115;-89.900739;38118;Yes;3
2016-01-29;35.067357;-89.933923;38118;Yes;193
2016-01-29;35.067407;-89.932593;38118;Yes;193
2016-01-29;35.003883;-89.957286;38118;No;2
2016-01-29;35.011859;-89.948436;38118;No;5
2016-01-29;35.07001;-89.910178;38118;Yes;3
2016-01-29;35.056956;-89.889056;38118;Yes;4
2016-01-29;35.009321;-89.958274;38118;Yes;3
2016-02-01;35.06442;-89.92093;38118;Yes;1
2016-02-01;35.052088;-89.918197;38118;Yes;603
2016-02-02;35.05603;-89.914033;38118;No;10
2016-02-02;35.013242;-89.963828;38118;Yes;2
2016-02-02;35.042289;-89.9588;38118;No;3
2016-02-02;35.043801;-89.892827;38118;Yes;2
2016-02-02;35.058333;-89.927711;38118;Yes;1071
2016-02-03;35.065217;-89.902581;38118;Yes;2
2016-02-03;35.048295;-89.903062;38118;Yes;1040
2016-02-04;35.055169;-89.90104;38118;Yes;2
2016-02-04;35.011813;-89.960189;38118;Yes;2
2016-02-05;35.070201;-89.907099;38118;Yes;564
2016-02-05;35.065787;-89.894246;38118;Yes;1
2016-02-08;35.054391;-89.904148;38118;Yes;3
2016-02-09;35.06808;-89.912412;38118;Yes;10
2016-02-09;35.037714;-89.960282;38118;Yes;6
2016-02-09;35.05603;-89.914033;38118;Yes;10
2016-02-09;35.016906;-89.951468;38118;Yes;3
2016-02-09;35.070671;-89.888416;38118;Yes;3
