Offense Date,UCR Description,UCR Category,Zip Code
2021-01-01 00:00:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-01 01:00:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-01 01:00:00+00:00,DRIVING UNDER THE INFLUENCE,DRIVING UNDER THE INFLUENCE,38128
2021-01-01 01:00:00+00:00,THEFT FROM A BUILDING,LARCENY/THEFT,38128
2021-01-01 01:50:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-01 03:00:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-01 05:00:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-01 07:20:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-01 09:45:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38128
2021-01-01 12:00:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38128
2021-01-01 13:54:00+00:00,CREDIT CARD/ATM FRAUD,FRAUD,38128
2021-01-01 14:35:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-01 14:40:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-01 17:50:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-01 18:00:00+00:00,KIDNAPPING/ABDUCTION,KIDNAPPING/ABDUCTION,38128
2021-01-01 18:10:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-01 18:30:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-01 18:40:00+00:00,EMBEZZLEMENT,EMBEZZLEMENT,38128
2021-01-01 19:00:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38128
2021-01-01 20:10:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-01 20:35:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-02 00:10:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38128
2021-01-02 01:00:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-02 12:00:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-02 14:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-02 15:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-02 15:30:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-02 17:00:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-02 19:15:00+00:00,ROBBERY,ROBBERY,38128
2021-01-02 21:00:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-02 22:00:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38128
2021-01-03 00:30:00+00:00,ROBBERY,ROBBERY,38128
2021-01-03 02:30:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-03 02:35:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38128
2021-01-03 08:00:00+00:00,THEFT FROM A BUILDING,LARCENY/THEFT,38128
2021-01-03 08:40:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-03 10:18:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-03 10:36:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38128
2021-01-03 10:50:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-03 12:20:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-03 12:50:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38128
2021-01-03 14:08:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38128
2021-01-03 14:30:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-03 20:10:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-03 20:20:00+00:00,ROBBERY,ROBBERY,38128
2021-01-03 21:00:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-03 22:30:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-03 22:35:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-03 23:00:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-04 04:45:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38128
2021-01-04 07:09:00+00:00,CREDIT CARD/ATM FRAUD,FRAUD,38128
2021-01-04 12:40:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-04 12:50:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38128
2021-01-04 12:50:00+00:00,THEFT FROM A MOTOR VEHICLE,LARCENY/THEFT,38128
2021-01-04 15:48:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38128
2021-01-04 16:13:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-04 16:15:00+00:00,IMPERSONATION,FRAUD,38128
2021-01-04 17:00:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-04 17:05:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-04 17:45:00+00:00,THEFT FROM A BUILDING,LARCENY/THEFT,38128
2021-01-04 18:00:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-04 18:00:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-04 19:20:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-04 22:20:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-04 22:55:00+00:00,INTIMIDATION,ASSAULT,38128
2021-01-05 03:05:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-05 03:15:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-05 12:00:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38128
2021-01-05 15:00:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-05 15:29:00+00:00,SIMPLE ASSAULT,ASSAULT,38128
2021-01-05 17:36:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38128
2021-01-05 18:00:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
2021-01-05 19:00:00+00:00,SHOPLIFTING,LARCENY/THEFT,38128
2021-01-05 19:45:00+00:00,ROBBERY,ROBBERY,38128
2021-01-06 00:00:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38128
2021-01-06 02:35:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38128
