Offense Date,UCR Description,UCR Category,Zip Code
2021-01-01 00:25:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-01 00:30:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-01 00:55:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38114
2021-01-01 02:00:00+00:00,MOTOR VEHICLE THEFT,MOTOR VEHICLE THEFT,38114
2021-01-01 03:00:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-01 08:00:00+00:00,THEFT OF MV PARTS/ACCS,LARCENY/THEFT,38114
2021-01-01 12:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-01 12:55:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-01 13:29:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-01 16:00:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-01 19:25:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-01 23:00:00+00:00,THEFT FROM A BUILDING,LARCENY/THEFT,38114
2021-01-02 00:10:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-02 01:00:00+00:00,ROBBERY,ROBBERY,38114
2021-01-02 11:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-02 12:00:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-02 14:00:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-02 14:34:00+00:00,DEST/DAM/VAND OF PROPERTY,DEST/DAM/VAND OF PROPERTY,38114
2021-01-02 15:24:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-02 19:56:00+00:00,SIMPLE ASSAULT,ASSAULT,38114
2021-01-03 00:00:00+00:00,WEAPON LAW VIOL,WEAPON LAW VIOLATION,38114
2021-01-03 00:10:00+00:00,ALL OTHER LARCENY,LARCENY/THEFT,38114
2021-01-03 02:05:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-03 04:30:00+00:00,AGGRAVATED ASSAULT,AGGRAVATED ASSAULT,38114
2021-01-03 11:32:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38114
2021-01-03 13:00:00+00:00,SHOPLIFTING,LARCENY/THEFT,38114
2021-01-03 13:40:00+00:00,INTIMIDATION,ASSAULT,38114
2021-01-03 16:30:00+00:00,BURG/BREAK & ENTER,BURG/BREAK & ENTER,38114
