parid,parid_key,property_address,image_available,capture_date,lat,lng,image_url,downloaded_at,status_code
042063  00061,04206300000610,"1526 Standridge St, Memphis, Tennessee, 38108",TRUE,2025-03,35.1776816,-89.97179767,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17763925973614,-89.97147171383082&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:26:53,OK
042051  00002,04205100000020,"2469 Shasta Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.16902563,-89.9749001,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.168779838244006,-89.97490069083275&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:26:53,OK
042030  00015,04203000000150,"2264 Marble Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17124853,-89.98168576,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17147041527946,-89.98169717481531&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:26:53,OK
041001  00115,04100100001150,"1926 Chelsea Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17312217,-89.9927264,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.173436436064954,-89.99274434472619&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:26:54,OK
041014  00043,04101400000430,"1428 May St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17551151,-89.99008338,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.175539945496205,-89.98973463184812&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:26:55,OK
042037  00077,04203700000770,"1165 N Hollywood St, Memphis, Tennessee, 38108",TRUE,2025-03,35.16782531,-89.97561254,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.16783275516525,-89.97587512464837&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:26:55,OK
041041  00016,04104100000160,"1333 Springdale St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17286004,-89.98358478,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17282266982681,-89.98391345983283&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:26:55,OK
041001  00071,04100100000710,"1529 May St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17847889,-89.99045002,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.178412251567984,-89.9908806884085&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:26:56,OK
041045  00002,04104500000020,"1447 Austin St, Memphis, Tennessee, 38108",TRUE,2025-03,35.1760895,-89.9857632,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17596649091234,-89.98578481726716&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:26:56,OK
041003  00008,04100300000080,"1583 Rice St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17980024,-89.99140007,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17981502892482,-89.99168236511429&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:26:56,OK
041005  00016,04100500000160,"Harmen St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17996257,-89.98945547,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17997967672656,-89.9897397115927&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:26:57,OK
042037  00192,04203700001920,"1164 Springdale St, Memphis, Tennessee, 38108",TRUE,2025-03,35.16806972,-89.98381347,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.16808341479408,-89.98327514193099&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:26:57,OK
041033  00036,04103300000360,"2130 N Hubert Cir, Memphis, Tennessee, 38108",TRUE,2025-03,35.16813734,-89.98582654,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.16828068384028,-89.98611736049101&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:26:58,OK
041055  00018,04105500000180,"2250 Stovall Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17920587,-89.98183631,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17944706737318,-89.98185784039525&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:26:58,OK
041052  00185,04105200001850,"2159 Clarksdale Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17767504,-89.98496412,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17744129155905,-89.9849935604306&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:26:59,OK
041034  00044,04103400000440,"2126 Brown Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.16653229,-89.98645671,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.1667300709183,-89.98645587058121&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:26:59,OK
042060  00020,04206000000200,"1434 N Hollywood St, Memphis, Tennessee, 38108",TRUE,2008-10,35.17497076,-89.97529523,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17521200583964,-89.97503700619414&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:26:59,OK
042062  00003,04206200000030,"1531 Standridge St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17806758,-89.97224524,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17787155938656,-89.97210254207924&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:00,OK
041006  00020,04100600000200,"2050 Nedra Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17941044,-89.98849997,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17940778383547,-89.9886439867736&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:00,OK
042014  00012,04201400000120,"Maplewood St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17498814,-89.97894231,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17502330649526,-89.97926204297848&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:00,OK
042027  00008,04202700000080,"1353 Boxwood St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17322848,-89.98172285,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.173268365663326,-89.98197784027448&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:01,OK
042033  00019,04203300000190,"2275 Eldridge Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17046097,-89.98131632,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.170189218894855,-89.981371906102&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:01,OK
042032  00045,04203200000450,"2254 Eldridge Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17048954,-89.98223179,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17069767989926,-89.98220278149832&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:02,OK
041060  00015,04106000000150,"1655 Harrison St, Memphis, Tennessee, 38108",TRUE,2025-03,35.18139739,-89.97756496,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.18139960254138,-89.9778909055603&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:02,OK
042057  00004,04205700000040,"1329 N Merton St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17235282,-89.97313052,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17231480157227,-89.97345393383797&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:02,OK
041043  00009,04104300000090,"1351 Austin St, Memphis, Tennessee, 38108",TRUE,2022-01,35.17331399,-89.98567594,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17332776177989,-89.98596230166814&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:03,OK
042056  00018,04205600000180,"1337 Standridge St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17243242,-89.97194976,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.172467805569724,-89.9722778276629&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:03,OK
042032  00005,04203200000050,"2225 Marble Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17129554,-89.98305143,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.171060722083915,-89.98300767343957&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:04,OK
042033  00003,04203300000030,"2217 Eldridge Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17052259,-89.98333416,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.170289780946405,-89.98332621829108&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:04,OK
042048  00013,04204800000130,"Winnona Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.16653148,-89.97338149,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.166307052353915,-89.97338479408302&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:05,OK
042019  00016,04201900000160,"2372 Hubbard Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17397026,-89.97780216,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.1739833097173,-89.97806127274434&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:05,OK
041016  00012,04101600000120,"1335 Tunica St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17291546,-89.98671408,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17292833777638,-89.9870269720932&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:05,OK
042037  00079,04203700000790,"1157 N Hollywood St, Memphis, Tennessee, 38108",TRUE,2025-03,35.16763838,-89.97561695,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.16763020969645,-89.97588511396796&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:06,OK
042034  00052,04203400000520,"2378 Hunter Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.1695848,-89.9779706,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.169790496711784,-89.97791177774982&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:06,OK
042065  00015,04206500000150,"2481 Heard Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.18064635,-89.97403579,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.18061749326626,-89.97421306139616&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:07,OK
042057  00007,04205700000070,"1317 N Merton St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17198646,-89.97313977,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17196718657639,-89.97346812571335&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:07,OK
041052  00033,04105200000330,"2164 Curry Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.18006207,-89.98480796,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.18028124769639,-89.98476317571841&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:08,OK
042057  00003,04205700000030,"N Merton St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17235282,-89.97313052,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17240685059867,-89.97345015771921&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:08,OK
041052  00076,04105200000760,"2152 Stovall Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17927034,-89.98523024,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17949535186517,-89.98519489410134&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:08,OK
042003  00017,04200300000170,"2276 Sanders Ave, Memphis, Tennessee, 38108",TRUE,2022-01,35.17816218,-89.98135291,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17812596641882,-89.98120512571349&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:09,OK
041052  00121,04105200001210,"2132 Lyon Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.17848684,-89.98591274,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17871212736592,-89.98589940431307&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:09,OK
041032  00018,04103200000180,"2095 Hunter Ave, Memphis, Tennessee, 38108",TRUE,2025-03,35.16956996,-89.98750978,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.16929418742903,-89.98754715520052&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:10,OK
041052  00002,04105200000020,"2103 Heard Ave, Memphis, Tennessee, 38108",TRUE,2022-01,35.18165387,-89.98645949,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.18173532976782,-89.98677681729387&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:10,OK
042061  00010,04206100000100,"1493 N Merton St, Memphis, Tennessee, 38108",TRUE,2025-03,35.17681791,-89.97300194,"https://maps.googleapis.com/maps/api/streetview?size=640x640&location=35.17680544530112,-89.97331567169167&fov=90&key=AIzaSyD7hjVLOk49U3hH6l7ACmK1LiruO_4T_CU",2025-11-03 21:27:11,OK
