service_request_number;reported_date;parcel_id;parid_key;location;standardized_address;service_request_summary;category;service_request_status;resolution_code;definition;follow_up_date;service_request_type;target_block;area;postal_code;lat;lon;last_edited_date;vacant;geopoint;neighborhood
5478910;2021-10-21;074025  00026;07402500000260;3438 LUZON ST;3438 Luzon Dr, Memphis, Tennessee, 38118;Junky yards on exterior of property.;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-01-07;CE-Junky Yard;200.0;03-003;38118.0;35.05481605;-89.90151982;2022-02-23;N;35.05481605, -89.90151982;Parkway Village
5751308;2022-06-16;040033  00016;04003300000160;1088 N WATKINS ST;1088 N Watkins St, Memphis, Tennessee, 38107;occupied property - high grass and weeds front and back yard;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-06;CE-Weeds Occupied Property;37.0;07-004;38107.0;35.16833363;-90.00980969;2022-08-24;N;35.16833363, -90.00980969;New Chelsea
5408892;2021-08-26;029090  00012;02909000000120;689 BALTIMORE ST;689 Baltimore St, Memphis, Tennessee, 38114;junky yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-11-01;CE-Junky Yard;103.0;04-003;38114.0;35.11315035;-89.9732845;2022-02-23;N;35.11315035, -89.9732845;Buntyn
5137924;2021-04-01;045110  00052;04511000000520;3254 SPOTTSWOOD AVE;3254 Spottswood Ave, Memphis, Tennessee, 38111;high grass and weeds;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-05-26;CE-Weeds Occupied Property;104.0;05-003;38111.0;35.11349263;-89.95385688;2024-02-03;N;35.11349263, -89.95385688;Buntyn
5137918;2021-04-01;045110  00052;04511000000520;3252 SPOTTSWOOD AVE;3254 Spottswood Ave, Memphis, Tennessee, 38111;high grass and weeds;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-05-26;CE-Weeds Occupied Property;104.0;05-003;38111.0;35.11349263;-89.95385688;2024-02-03;N;35.11349263, -89.95385688;Buntyn
4867194;2020-09-30;045075  00026;04507500000260;732 GOODWYN ST;732 Goodwyn St, Memphis, Tennessee, 38111;Junky yard and debris.;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-02-17;CE-Junky Yard;104.0;04-003;38111.0;35.11219071;-89.9634373;2022-02-23;Y;35.11219071, -89.9634373;Orange Mound
5773394;2022-07-01;093417 C00017;0934170C000170;3625 TULIP TREE COVE;3625 Tulip Tree Cv, Memphis, Tennessee, 38115;CE-Weeds Occupied Property;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-15;CE-Weeds Occupied Property;199.0;04-005;38115.0;35.04992574;-89.87646726;2023-01-19;N;35.04992574, -89.87646726;Hickory Hill
5716326;2022-05-25;059064  00004;05906400000040;3165 LARKSPUR DR;3165 Larkspur Dr, Memphis, Tennessee, 38111;junky back yard;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2023-03-01;CE-Junky Yard;113.0;04-003;38111.0;35.10217536;-89.95705343;2023-02-28;N;35.10217536, -89.95705343;Orange Mound
5775708;2022-07-05;093417 F00108;0934170F001080;5437 JASMINE COVE;5437 Jasmine Cv, Memphis, Tennessee, 38115;SQT203- Vehicle Violation;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2022-07-19;CE-Junky Yard;203.0;03-004;38115.0;35.04491547;-89.88232244;2023-01-19;N;35.04491547, -89.88232244;Hickory Hill
5454462;2021-09-29;085002  00036;08500200000360;4182 SEVELLA RD;4182 Sevella Rd, Memphis, Tennessee, 38128;INOPERABLE VEICHLE AND JUNKY YARD;Inspection-Junky Yard;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-10-21;CE-Junky Yard;19.0;01-002;38128.0;35.2189477;-89.92393834;2022-09-01;N;35.2189477, -89.92393834;Raleigh
5771352;2022-06-30;026045  00038;02604500000380;1410GREENWOOD;1410 Greenwood St, Memphis, Tennessee, 38106;Vacant lot high weeds grass;Inspection-Vacant Violation;Closed;JA;Justified, Active already file;2022-07-14;CE-Vacant Lot Code Violation;118.0;04-002;38106.0;35.10809315;-90.02416351;2022-07-06;;35.10809315, -90.02416351;Bunker Hill
5318964;2021-06-24;090041  00004;09004100000040;3833 EMERSON AVE;3833 Emerson Ave, Memphis, Tennessee, 38128;OCCUPIED PROPERTY - HIGH GRASS AND WEEDS BACK YARD;Weeds;Closed;CVOYC;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-14;CE-Weeds Occupied Property;15.0;01-001;38128.0;35.24116583;-89.93570503;2022-02-23;N;35.24116583, -89.93570503;Egypt
5663686;2022-04-25;036005  00024;03600500000240;1474 FAXON AVE;1474 Faxon Ave, Memphis, Tennessee, 38104;OVERGROWN REVERSE FRONTAGE;Weeds;Closed;CVOID;Closed Void;2022-08-27;CE-Weeds Occupied Property;57.0;07-005;38112.0;35.15499938;-90.00939541;2022-10-08;N;35.15499938, -90.00939541;Crosstown
