service_request_number;reported_date;service_request_summary;category;definition;follow_up_date;service_request_type;neighborhood
4037778;2018-11-30;Court date set for 7/27/2022@ 9:00 a.m. Junky Yard/ High Weeds and Grass;Inspection-Junky Yard;Case dismissed         Need further discussion;2022-06-22;CE-Junky Yard;Frayser
4692478;2020-06-11;Tree on sidewalk that belong to 3562 W Sutton Dr. It is not cut up on sidewalk  since Easter;Weeds;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-05-06;CE-Weeds Occupied Property;Frayser
4800620;2020-08-16;Backyard  -Corner house  Inoperable vehicle on grass-;Inspection-Junky Yard;Justified, Active already file;2021-05-06;CE-Junky Yard;Frayser
5008016;2020-12-29;JUNK YARD - BACK YARD- FURNITURE, GARBAGE TRASH BAGS;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-01-16;CE-Junky Yard;Frayser
5025320;2021-01-06;tree debris, leaves in backyard;Weeds;Case not justified;2021-01-13;CE-Weeds Occupied Property;Frayser
5028140;2021-01-07;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-11;CE-Junky Yard;Frayser
5042786;2021-01-20;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-12;CE-Junky Yard;Frayser
5058118;2021-02-04;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-07-28;CE-Junky Yard;Frayser
5066784;2021-02-12;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-09;CE-Junky Yard;Frayser
5090682;2021-03-11;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-23;CE-Junky Yard;Frayser
5103582;2021-03-19;SEVERAL BOXES UNDER CARPORT/FRONT PORCH;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-05-06;CE-Junky Yard;Frayser
5123630;2021-03-29;junky back and front yard causing the street to have rats. Citizen states that there is a lot of junk in the back yard.;Inspection-Junky Yard;Case not justified;2021-04-05;CE-Junky Yard;Frayser
5127824;2021-03-30;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-14;CE-Junky Yard;Frayser
5127680;2021-03-30;CE-Junky Yard;Inspection-Junky Yard;Incompliance violation order of Yard Cleaned - Yard cleaned;2021-04-20;CE-Junky Yard;Frayser
5126740;2021-03-30;CE-Junky Yard;Inspection-Junky Yard;Back To MCSC;2021-04-06;CE-Junky Yard;Frayser
